ticker,company_name,sector,industry,current_price,market_cap,forward_pe,trailing_pe,peg_ratio,price_to_sales,price_to_book,ev_to_revenue,ev_to_ebitda,total_revenue,net_income,profit_margin,operating_margin,gross_margin,revenue_growth,dividend_yield,beta,eps
AOS,A. O. Smith,Industrials,Building Products,68.32,9573653504,16.559654,18.415094,,2.4995832,5.1573944,2.497,12.192,3830099968.0,530500000.0,0.13851,0.18631001,0.38513002,0.044,2.02,1.335,3.71
ABBV,AbbVie,Health Care,Biotechnology,229.31,405278949376,16.08895,172.41353,,6.794966,-153.38461,7.855,15.871,59643998208.0,2348000000.0,0.04004,0.35497,0.71461,0.091,3.02,0.349,1.33
ABT,Abbott Laboratories,Health Care,Health Care Equipment,124.19,216147607552,21.880384,15.601759,,4.930037,4.238133,5.052,18.856,43842998272.0,13925999616.0,0.3188,0.19395,0.56259996,0.069,2.03,0.714,7.96
ACN,Accenture,Information Technology,IT Consulting & Other Services,259.95,161205108736,17.467552,21.501242,,2.2793047,5.18221,2.256,12.807,70725558272.0,7611100160.0,0.107609995,0.16974,0.31968,0.06,2.51,1.261,12.09
MMM,3M,Industrials,Industrial Conglomerates,161.82,86190137344,18.71996,25.84984,,3.4719088,18.57438,3.787,15.257,24824999936.0,3400999936.0,0.137,0.24367,0.40979,0.035,1.8,1.148,6.26
ADBE,Adobe Inc.,Information Technology,Application Software,333.3,141385859072,12.659213,19.958082,,5.94833,11.9578085,5.85,14.557,23768999936.0,7129999872.0,0.29997,0.36503,0.89268,0.105,,1.54,16.7
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,14.82,10553632768,6.405712,9.75,,0.87263376,2.7307904,3.916,14.771,12094000128.0,1079000064.0,0.0874,0.20501,0.17265,0.019,4.75,1.001,1.52
AMD,Advanced Micro Devices,Information Technology,Semiconductors,223.47,363818450944,34.59952,117.61579,,11.359741,5.984735,11.254,59.538,32027000832.0,3131000064.0,0.10323,0.13736,0.51457,0.356,,1.927,1.9
AFL,Aflac,Financials,Life & Health Insurance,110.24,58959822848,14.939896,14.486202,,3.3308754,2.0201576,3.559,11.757,17700999168.0,4168999936.0,0.23552,0.4327,0.48172,0.607,2.21,0.658,7.61
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,137.95,39108882432,21.025373,30.185993,,5.6287975,5.7925673,5.881,20.891,6947999744.0,1303000064.0,0.18754,0.26384002,0.52432,0.094,0.74,1.274,4.57
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",133.01,81433460736,27.563753,31.669048,,6.8185096,9.392697,5.965,25.804,11943000064.0,2631000064.0,0.2203,0.39683,0.83036005,0.097,,1.118,4.2
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,85.1,12242930688,11.593642,24.95601,,2.9620936,2.5855258,3.957,13.934,4133201920.0,506864000.0,0.12262999,0.15743,0.59126997,0.05,,0.682,3.41
APD,Air Products,Materials,Industrial Gases,250.47,55752556544,18.118176,,,4.6316495,3.7106118,6.201,99.306,12037300224.0,-386500000.0,-0.03277,-0.89169,0.31413,-0.006,2.86,0.863,-1.73
ALB,Albemarle Corporation,Materials,Specialty Chemicals,143.93,16940205056,133.08122,,,3.424744,2.1826425,4.302,30.537,4946415104.0,-187907008.0,-0.00428,-0.02244,0.12389,-0.035,1.13,1.431,-1.58
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,48.97,8463243264,14.235465,,,2.7672174,0.5013155,8.605,13.436,3058394880.0,-421068992.0,-0.13436,0.19073,0.69575995,-0.05,9.56,1.329,-2.47
ALGN,Align Technology,Health Care,Health Care Supplies,156.03,11310048256,14.246714,30.238373,,2.8398497,2.8403175,2.589,12.717,3982621952.0,378398016.0,0.095010005,0.15673,0.69254994,0.018,,1.859,5.16
